Date mutation,Nature mutation,Valeur fonciere,Type de voie,Code voie,Voie,Code postal,Commune,Code departement,Code commune,Type local,Surface reelle bati,Nombre pieces principales,Surface terrain
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,286.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,248.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,187.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,393.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Dépendance,0.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,356.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,225.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,385.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Dépendance,0.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Appartement,59.0,2.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Appartement,248.0,7.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Appartement,172.0,4.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,239.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,34.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,438.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,98.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,0.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Dépendance,0.0,0.0,988.0
2022-12-01,Vente,80000000.0,RUE,3814,FRANCOIS 1ER,75008,PARIS 08,75,108,Appartement,39.0,3.0,988.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,127.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,33.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,59.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,100.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,30.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,150.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,44.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,95.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,127.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,139.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,307.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,43.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,100.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,105.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,91.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,250.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,110.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,155.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,100.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,38.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,70.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,30.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,35.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,114.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,280.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,287.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,1260.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,0.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,185.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,158.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,69.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,120.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,141.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,85.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,110.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,82.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,150.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,26.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,770.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,106.0,0.0,918.0
2022-05-01,Vente,117500000.0,RUE,9988,YVES TOUDIC,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,353.0,0.0,918.0
2022-01-21,Vente,7500000.0,RUE,9804,VIGNON,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,900.0,0.0,181.0
2022-01-21,Vente,7500000.0,RUE,9804,VIGNON,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,100.0,0.0,181.0
2022-12-01,Vente,19619000.0,RUE,4392,GUILLAUME TELL,75017,PARIS 17,75,117,Appartement,120.0,4.0,482.0
2022-12-01,Vente,19619000.0,RUE,4392,GUILLAUME TELL,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,254.0,0.0,482.0
2022-12-01,Vente,19619000.0,RUE,4392,GUILLAUME TELL,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,80.0,0.0,482.0
2022-12-01,Vente,19619000.0,RUE,4392,GUILLAUME TELL,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,254.0,0.0,482.0
2022-12-01,Vente,19619000.0,RUE,4392,GUILLAUME TELL,75017,PARIS 17,75,117,Appartement,119.0,4.0,482.0
2022-12-01,Vente,19619000.0,RUE,4392,GUILLAUME TELL,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,55.0,0.0,482.0
2022-12-01,Vente,19619000.0,RUE,4392,GUILLAUME TELL,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,174.0,0.0,482.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Dépendance,0.0,0.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Local industriel. commercial ou assimilé,160.0,0.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Local industriel. commercial ou assimilé,72.0,0.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,20.0,1.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,34.0,2.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,49.0,2.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,34.0,1.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,20.0,1.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,34.0,2.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,62.0,3.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,34.0,2.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,34.0,2.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,96.0,4.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,34.0,2.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,34.0,2.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,62.0,3.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Appartement,24.0,1.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Local industriel. commercial ou assimilé,83.0,0.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Dépendance,0.0,0.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Dépendance,0.0,0.0,208.0
2022-01-13,Vente,5392750.0,PL,8589,SAINTE OPPORTUNE,75001,PARIS 01,75,101,Dépendance,0.0,0.0,208.0
2022-01-13,Vente,5392750.0,RUE,8073,REAUMUR,75003,PARIS 03,75,103,Appartement,39.0,2.0,140.0
2022-01-13,Vente,5392750.0,RUE,8073,REAUMUR,75003,PARIS 03,75,103,Appartement,35.0,1.0,140.0
2022-01-13,Vente,5392750.0,RUE,8073,REAUMUR,75003,PARIS 03,75,103,Local industriel. commercial ou assimilé,199.0,0.0,140.0
2022-01-13,Vente,5392750.0,RUE,8073,REAUMUR,75003,PARIS 03,75,103,Appartement,95.0,4.0,140.0
2022-01-13,Vente,5392750.0,RUE,8073,REAUMUR,75003,PARIS 03,75,103,Local industriel. commercial ou assimilé,79.0,0.0,140.0
2022-01-13,Vente,5392750.0,RUE,8073,REAUMUR,75003,PARIS 03,75,103,Appartement,95.0,4.0,140.0
2022-01-13,Vente,5392750.0,RUE,8073,REAUMUR,75003,PARIS 03,75,103,Appartement,95.0,4.0,140.0
2022-01-13,Vente,5392750.0,RUE,8073,REAUMUR,75003,PARIS 03,75,103,Appartement,95.0,4.0,140.0
2022-11-01,Vente,3500000.0,RUE,5844,LUCIEN SAMPAIX,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,266.0,0.0,431.0
2022-11-01,Vente,3500000.0,RUE,5844,LUCIEN SAMPAIX,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,117.0,0.0,431.0
2022-11-01,Vente,3500000.0,RUE,5844,LUCIEN SAMPAIX,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,179.0,0.0,431.0
2022-11-01,Vente,3500000.0,RUE,5844,LUCIEN SAMPAIX,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,266.0,0.0,431.0
2022-11-01,Vente,3500000.0,RUE,5844,LUCIEN SAMPAIX,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,266.0,0.0,431.0
2022-11-01,Vente,3500000.0,RUE,5844,LUCIEN SAMPAIX,75010,PARIS 10,75,110,Local industriel. commercial ou assimilé,240.0,0.0,431.0
2022-01-20,Vente,1321000.0,RUE,9711,DU VERTBOIS,75003,PARIS 03,75,103,Dépendance,0.0,0.0,8.0
2022-01-14,Vente,100750000.0,RUE,9129,DE SURENE,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,4292.0,0.0,889.0
2022-01-25,Vente,537334.0,RUE,0253,DE L ALSACE LORRAINE,75019,PARIS 19,75,119,Maison,68.0,3.0,75.0
2022-01-21,Vente,11928000.0,PAS,5890,DE LA MADELEINE,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,1850.0,0.0,191.0
2022-01-21,Vente,38400000.0,RUE,0652,BALZAC,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,4714.0,0.0,670.0
2022-01-21,Vente,38400000.0,RUE,0652,BALZAC,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,345.0,0.0,670.0
2022-01-21,Vente,20008000.0,RUE,3923,GALILEE,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,1698.0,0.0,255.0
2022-01-21,Vente,20000000.0,RUE,0652,BALZAC,75008,PARIS 08,75,108,Local industriel. commercial ou assimilé,3057.0,0.0,260.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,13.0,1.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Local industriel. commercial ou assimilé,30.0,0.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Dépendance,0.0,0.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,32.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,55.0,3.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,28.0,1.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,45.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,37.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,50.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,17.0,1.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,66.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,20.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,45.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,29.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,23.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,28.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,17.0,1.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,28.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,17.0,1.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,29.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,17.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,17.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,20.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,20.0,2.0,216.0
2022-01-26,Vente,4500000.0,RUE,3948,DES GARDES,75018,PARIS 18,75,118,Appartement,35.0,2.0,216.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,67.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,74.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,74.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,38.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,32.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,65.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,65.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,85.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,60.0,3.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,9.0,1.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,85.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,67.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,65.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,85.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,67.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,130.0,6.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,85.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,22.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,65.0,3.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,10.0,1.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,85.0,4.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,57.0,3.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,40.0,3.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Dépendance,0.0,0.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,9.0,1.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,10.0,1.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,9.0,1.0,387.0
2022-10-02,Vente,2000000.0,RUE,6096,MARIOTTE,75017,PARIS 17,75,117,Appartement,28.0,2.0,387.0
2022-01-26,Vente,1600000.0,RUE,9487,TRUFFAUT,75017,PARIS 17,75,117,Local industriel. commercial ou assimilé,144.0,0.0,160.0
2022-09-02,Vente,36350000.0,RUE,7866,DE PROVENCE,75009,PARIS 09,75,109,Local industriel. commercial ou assimilé,240.0,0.0,419.0
2022-09-02,Vente,36350000.0,RUE,7866,DE PROVENCE,75009,PARIS 09,75,109,Local industriel. commercial ou assimilé,43.0,0.0,419.0
2022-09-02,Vente,36350000.0,RUE,7866,DE PROVENCE,75009,PARIS 09,75,109,Local industriel. commercial ou assimilé,171.0,0.0,419.0
2022-09-02,Vente,36350000.0,RUE,7866,DE PROVENCE,75009,PARIS 09,75,109,Local industriel. commercial ou assimilé,154.0,0.0,419.0
2022-09-02,Vente,36350000.0,RUE,7866,DE PROVENCE,75009,PARIS 09,75,109,Local industriel. commercial ou assimilé,85.0,0.0,419.0
2022-09-02,Vente,36350000.0,RUE,7866,DE PROVENCE,75009,PARIS 09,75,109,Local industriel. commercial ou assimilé,277.0,0.0,419.0
2022-09-02,Vente,36350000.0,RUE,7866,DE PROVENCE,75009,PARIS 09,75,109,Local industriel. commercial ou assimilé,253.0,0.0,419.0
2022-09-02,Vente,36350000.0,RUE,7866,DE PROVENCE,75009,PARIS 09,75,109,Local industriel. commercial ou assimilé,249.0,0.0,419.0
2022-09-02,Vente,36350000.0,RUE,7866,DE PROVENCE,75009,PARIS 09,75,109,Appartement,19.0,1.0,419.0
2022-01-28,Vente,6100000.0,RUE,4510,HAXO,75019,PARIS 19,75,119,Appartement,38.0,2.0,238.0
2022-01-28,Vente,6100000.0,RUE,4510,HAXO,75019,PARIS 19,75,119,Appartement,38.0,2.0,238.0
2022-01-28,Vente,6100000.0,RUE,4510,HAXO,75019,PARIS 19,75,119,Appartement,38.0,2.0,238.0
2022-01-28,Vente,6100000.0,RUE,4510,HAXO,75019,PARIS 19,75,119,Appartement,38.0,2.0,238.0
2022-01-28,Vente,6100000.0,RUE,4510,HAXO,75019,PARIS 19,75,119,Appartement,36.0,2.0,238.0
2022-01-28,Vente,6100000.0,RUE,4510,HAXO,75019,PARIS 19,75,119,Local industriel. commercial ou assimilé,34.0,0.0,238.0
2022-01-28,Vente,6100000.0,RUE,4510,HAXO,75019,PARIS 19,75,119,Appartement,36.0,2.0,238.0
2022-01-28,Vente,6100000.0,RUE,4510,HAXO,75019,PARIS 19,75,119,Dépendance,0.0,0.0,238.0
2022-01-28,Vente,6100000.0,RUE,4510,HAXO,75019,PARIS 19,75,119,Appartement,38.0,2.0,238.0
2022-01-28,Vente,6100000.0,RUE,4510,HAXO,75019,PARIS 19,75,119,Appartement,22.0,2.0,238.0
